Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
Carlos María De Heredia,Carlos María De Heredia,,0,2,0,2,2,0,2,0,0,0,0,3,0,18775
Maginot Line,Maginot Line,,0,2,0,2,2,0,2,0,0,0,0,14,0,5391
Chengziguan,Chengziguan,,0,2,0,2,2,0,2,0,0,0,0,0,0,15050
The Bubble Factory,The Bubble Factory,,0,2,0,2,2,0,2,0,0,0,0,1,0,1943
Latin,Latin,,0,22,208,230,22,208,230,6,0.194536,0.212742,110778.60116,18,0,20032
Ingenious Media,Ingenious Media,,0,2,0,2,2,0,2,0,0,0,0,1,0,2245
Iso 14971,Iso 14971,,0,2,0,2,2,0,2,0,0,0,0,18,0,409
Naan Sigappu Manithan (1985 Film),Naan Sigappu Manithan (1985 Film),,0,2,0,2,2,0,2,0,0,0,0,2,0,15642
W. W. Norton,W. W. Norton,,0,2,0,2,2,0,2,0,0,0,0,14,0,2358
Radioactive,Radioactive,,0,7,0,7,7,0,7,0,0,0,0,15,0,8198
Needful Things,Needful Things,,0,2,0,2,2,0,2,0,0,0,0,13,0,19080
Hanabi (Card Game),Hanabi (Card Game),,0,4,0,4,4,0,4,0,0,0,0,10,0,16309
Journal Of Contemporary History,Journal Of Contemporary History,,0,2,0,2,2,0,2,0,0,0,0,14,0,5455
Fake (Manga),Fake (Manga),,0,2,0,2,2,0,2,0,0,0,0,9,0,7334
Bandai Namco Arts,Bandai Namco Arts,,0,2,0,2,2,0,2,0,0,0,0,6,0,14414
Ingénue,Ingénue,,0,2,0,2,2,0,2,0,0,0,0,6,0,8733
Dimenhydrinate,Dimenhydrinate,,0,2,0,2,2,0,2,0,0,0,0,12,0,10245
Letterpress Printing,Letterpress Printing,,0,2,0,2,2,0,2,0,0,0,0,14,0,9130
Giovanni Berchet,Giovanni Berchet,,0,5,0,5,5,0,5,0,0,0,0,7,0,9515
Raymond Chandler,Raymond Chandler,,0,3,0,3,3,0,3,0,0,0,0,5,0,4320
"Panda! Go, Panda!","Panda! Go, Panda!",,0,4,0,4,4,0,4,0,0,0,0,1,0,8255
Great Depression,Great Depression,,0,4,0,4,4,0,4,0,0,0,0,18,0,16822
Stan (Fan),Stan (Fan),,0,2,0,2,2,0,2,0,0,0,0,1,0,6968
Piccadilly Jim (1919 Film),Piccadilly Jim (1919 Film),,0,2,0,2,2,0,2,0,0,0,0,13,0,17168
Guillermo Del Toro,Guillermo Del Toro,,0,2,0,2,2,0,2,0,0,0,0,1,0,10010
Northern Ireland (St Andrews Agreement) Act 2006,Northern Ireland (St Andrews Agreement) Act 2006,,0,2,0,2,2,0,2,0,0,0,0,16,0,3951
Walter King Stapleton,Walter King Stapleton,,0,2,0,2,2,0,2,0,0,0,0,14,0,16844
Lolicon,Lolicon,,0,3,0,3,3,0,3,0,0,0,0,1,0,8679
Living For The Day After Tomorrow,Living For The Day After Tomorrow,,0,2,0,2,2,0,2,0,0,0,0,9,0,7277
The Dying Detective (Film),The Dying Detective (Film),,0,131,150,281,131,150,281,3,0.361907,0.375217,1214.10165,9,0,20032
Index Of World War Ii Articles (P),Index Of World War Ii Articles (P),,0,2,0,2,2,0,2,0,0,0,0,14,0,5552
Mister Magoo'S Christmas Carol,Mister Magoo'S Christmas Carol,,0,2,0,2,2,0,2,0,0,0,0,11,0,15999
Syphilis,Syphilis,,0,5,0,5,5,0,5,0,0,0,0,12,0,2810
Right Of Self-Defense,Right Of Self-Defense,,0,4,0,4,4,0,4,0,0,0,0,6,0,13582
Hungary,Hungary,,0,10,0,10,10,0,10,0,0,0,0,18,0,2954
Loggia,Loggia,,0,2,0,2,2,0,2,0,0,0,0,17,0,16997
Palliative Medicine,Palliative Medicine,,0,2,0,2,2,0,2,0,0,0,0,12,0,17516
Turks And Caicos Islands,Turks And Caicos Islands,,0,3,0,3,3,0,3,0,0,0,0,16,0,3746
Terrace (Building),Terrace (Building),,0,2,0,2,2,0,2,0,0,0,0,17,0,16952
James J. Jeffries,James J. Jeffries,,0,3,0,3,3,0,3,0,0,0,0,3,0,13806
Cruise Missile,Cruise Missile,,0,2,0,2,2,0,2,0,0,0,0,12,0,16709
"Unus Pro Omnibus, Omnes Pro Uno","Unus Pro Omnibus, Omnes Pro Uno",,0,2,0,2,2,0,2,0,0,0,0,11,0,666
College And University Rankings,College And University Rankings,,0,2,0,2,2,0,2,0,0,0,0,8,0,6933
Quantum Mysticism,Quantum Mysticism,,0,2,0,2,2,0,2,0,0,0,0,12,0,12290
"Disney Fairies: Faith, Trust, And Pixie Dust","Disney Fairies: Faith, Trust, And Pixie Dust",,0,2,0,2,2,0,2,0,0,0,0,11,0,20026
Father Brown,Father Brown,,0,5,0,5,5,0,5,0,0,0,0,8,0,13481
Queen'S Fire Service Medal,Queen'S Fire Service Medal,,0,2,0,2,2,0,2,0,0,0,0,16,0,11014
Brougham (Carriage),Brougham (Carriage),,0,4,0,4,4,0,4,0,0,0,0,10,0,16221
The Last Of Sheila,The Last Of Sheila,,0,2,0,2,2,0,2,0,0,0,0,9,0,19703
Liden Films,Liden Films,,0,2,0,2,2,0,2,0,0,0,0,6,0,8682
King Solomon'S Mines,King Solomon'S Mines,,0,4,0,4,4,0,4,0,0,0,0,11,0,9720
Offset Printing,Offset Printing,,0,2,0,2,2,0,2,0,0,0,0,14,0,9122
Victory In Europe Day,Victory In Europe Day,,0,2,0,2,2,0,2,0,0,0,0,14,0,881
Corporatism,Corporatism,,0,2,0,2,2,0,2,0,0,0,0,16,0,12021
Spiral Of Silence,Spiral Of Silence,,0,2,0,2,2,0,2,0,0,0,0,12,0,9738
The Lost World: Jurassic Park,The Lost World: Jurassic Park,,0,2,0,2,2,0,2,0,0,0,0,1,0,3292
Rms Olympic,Rms Olympic,,0,2,0,2,2,0,2,0,0,0,0,16,0,4157
Bleak House (1920 Film),Bleak House (1920 Film),,0,2,0,2,2,0,2,0,0,0,0,11,0,18299
Kritika (Journal),Kritika (Journal),,0,2,0,2,2,0,2,0,0,0,0,14,0,5432
United Kingdom Insolvency Law,United Kingdom Insolvency Law,,0,2,0,2,2,0,2,0,0,0,0,16,0,11666
A Family At War,A Family At War,,0,2,0,2,2,0,2,0,0,0,0,8,0,13128
Nanaka 6/17,Nanaka 6/17,,0,2,0,2,2,0,2,0,0,0,0,9,0,7257
University Of Tennessee,University Of Tennessee,,0,2,0,2,2,0,2,0,0,0,0,8,0,904
The Man With The Golden Gun (Novel),The Man With The Golden Gun (Novel),,0,5,0,5,5,0,5,0,0,0,0,4,0,12653
Martial Arts Film,Martial Arts Film,,0,2,0,2,2,0,2,0,0,0,0,6,0,8658
Alice In Orchestralia,Alice In Orchestralia,,0,4,0,4,4,0,4,0,0,0,0,11,0,15925
Charles Paton,Charles Paton,,0,2,0,2,2,0,2,0,0,0,0,9,0,19741
Yugoslav Black Wave,Yugoslav Black Wave,,0,2,0,2,2,0,2,0,0,0,0,6,0,8373
French Fourth Republic,French Fourth Republic,,0,3,0,3,3,0,3,0,0,0,0,16,0,17743
Roadwork,Roadwork,,0,2,0,2,2,0,2,0,0,0,0,13,0,19064
Mike Newell (Director),Mike Newell (Director),,0,4,0,4,4,0,4,0,0,0,0,8,0,10773
Rosalie (Musical),Rosalie (Musical),,0,2,0,2,2,0,2,0,0,0,0,13,0,17157
